,Reason for absence,Month,Day of the week,Seasons,Transportation expense,Distance to Work,Service time,Age,Work load,Education,Son,Social drinker,Social smoker,Weight,Height,Body mass index,Absenteeism time in hours
383,23,2,3,2,225,26,,28,264.249,1,1,0,0,69,169,24,3
384,1,2,4,2,248,25,14,47,264.249,1,2,0,0,86,165,32,8
385,27,2,4,2,179,51,,38,264.249,1,0,1,0,89,170,31,2
386,28,2,5,2,225,26,,28,264.249,1,1,0,0,69,169,24,3
387,27,2,5,2,179,51,,38,264.249,1,0,1,0,89,170,31,2
388,27,2,6,2,179,51,,38,264.249,1,0,1,0,89,170,31,3
389,27,2,5,2,179,51,,38,264.249,1,0,1,0,89,170,31,2
390,25,2,6,2,235,16,,32,264.249,3,0,0,0,75,178,25,2
391,27,3,2,2,179,51,,38,222.196,1,0,1,0,89,170,31,2
392,23,3,2,2,248,25,14,47,222.196,1,2,0,0,86,165,32,2
393,25,3,3,2,228,14,16,58,222.196,1,2,0,0,65,172,22,3
394,25,3,3,2,248,25,14,47,222.196,1,2,0,0,86,165,32,3
395,27,3,3,2,179,51,,38,222.196,1,0,1,0,89,170,31,2
396,23,3,4,2,289,36,,33,222.196,1,2,1,0,90,172,30,8
397,25,3,4,2,228,14,16,58,222.196,1,2,0,0,65,172,22,2
398,27,3,4,2,179,51,,38,222.196,1,0,1,0,89,170,31,2
399,23,3,5,2,248,25,14,47,222.196,1,2,0,0,86,165,32,3
400,27,3,5,2,179,51,,38,222.196,1,0,1,0,89,170,31,3
401,23,3,6,2,179,26,,30,222.196,3,0,0,0,56,171,19,2
402,27,3,6,2,179,51,,38,222.196,1,0,1,0,89,170,31,3
403,27,3,3,3,179,51,,38,222.196,1,0,1,0,89,170,31,3
404,23,3,4,3,118,15,24,46,222.196,1,2,1,1,75,175,25,8
405,13,3,4,3,155,12,14,34,222.196,1,2,1,0,95,196,25,24
406,23,4,3,3,361,52,,28,246.288,1,1,1,0,80,172,27,2
407,10,4,4,3,118,10,10,37,246.288,1,0,0,0,83,172,28,2
408,22,4,6,3,235,11,14,37,246.288,3,1,0,0,88,172,29,8
409,27,4,6,3,179,26,,30,246.288,3,0,0,0,56,171,19,2
410,19,4,2,3,225,26,,28,246.288,1,1,0,0,69,169,24,8
411,16,4,3,3,235,16,,32,246.288,3,0,0,0,75,178,25,3
412,27,4,6,3,179,26,,30,246.288,3,0,0,0,56,171,19,2
